Variables,Values,Ambient,Diffuse,Offshore,Transition
Salinity,34.21926536,NA,34.21926536,NA,NA
Salinity,34.34364133,NA,34.34364133,NA,NA
Salinity,34.34759675,NA,34.34759675,NA,NA
Salinity,34.35155217,NA,34.35155217,NA,NA
Salinity,34.38011909,NA,34.38011909,NA,NA
Salinity,34.39198535,NA,34.39198535,NA,NA
Salinity,34.42714464,NA,34.42714464,NA,NA
Salinity,34.43769242,NA,34.43769242,NA,NA
Salinity,34.44252682,NA,34.44252682,NA,NA
Salinity,34.4486797,NA,34.4486797,NA,NA
Salinity,34.45219563,NA,34.45219563,NA,NA
Salinity,34.45966698,NA,34.45966698,NA,NA
Salinity,34.47592815,NA,34.47592815,NA,NA
Salinity,34.48427848,NA,34.48427848,NA,NA
Salinity,34.48515746,NA,34.48515746,NA,NA
Salinity,34.49526575,NA,34.49526575,NA,NA
Salinity,34.49746321,NA,34.49746321,NA,NA
Salinity,34.50317659,NA,34.50317659,NA,NA
Salinity,34.50361608,NA,34.50361608,NA,NA
Salinity,34.50581354,NA,34.50581354,NA,NA
Salinity,34.5075715,NA,34.5075715,NA,NA
Salinity,34.5128454,NA,34.5128454,NA,NA
Salinity,34.51592183,NA,34.51592183,NA,NA
Salinity,34.5176798,NA,34.5176798,NA,NA
Salinity,34.5225142,NA,34.5225142,NA,NA
Salinity,34.52471166,NA,34.52471166,NA,NA
Salinity,34.52515115,NA,34.52515115,NA,NA
Salinity,34.52603013,NA,34.52603013,NA,NA
Salinity,34.52910657,NA,34.52910657,NA,NA
Salinity,34.53130402,NA,34.53130402,NA,NA
Salinity,34.53394097,NA,34.53394097,NA,NA
Salinity,34.53789639,NA,34.53789639,NA,NA
Salinity,34.53833588,NA,34.53833588,NA,NA
Salinity,34.53965435,NA,34.53965435,NA,NA
Salinity,34.54141232,NA,34.54141232,NA,NA
Salinity,34.54185181,NA,34.54185181,NA,NA
Salinity,34.54317028,NA,34.54317028,NA,NA
Salinity,34.54404926,NA,34.54404926,NA,NA
Salinity,34.54668621,NA,34.54668621,NA,NA
Salinity,34.54888366,NA,34.54888366,NA,NA
Salinity,34.54976265,NA,34.54976265,NA,NA
Salinity,34.55327858,NA,34.55327858,NA,NA
Salinity,34.56031043,NA,34.56031043,NA,NA
Salinity,34.56426585,NA,34.56426585,NA,NA
Salinity,34.5669028,NA,34.5669028,NA,NA
Salinity,34.56953975,NA,34.56953975,NA,NA
Salinity,34.57569262,NA,34.57569262,NA,NA
Silicate,2.4,NA,2.4,NA,NA
Silicate,2.54,NA,2.54,NA,NA
Silicate,2.6,NA,2.6,NA,NA
Silicate,2.66,NA,2.66,NA,NA
Silicate,2.75,NA,2.75,NA,NA
Silicate,2.91,NA,2.91,NA,NA
Silicate,2.99,NA,2.99,NA,NA
Silicate,3.01,NA,3.01,NA,NA
Silicate,3.06,NA,3.06,NA,NA
Silicate,3.12,NA,3.12,NA,NA
Silicate,3.14,NA,3.14,NA,NA
Silicate,3.17,NA,3.17,NA,NA
Silicate,3.18,NA,3.18,NA,NA
Silicate,3.22,NA,3.22,NA,NA
